"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "Cent"
9.6 6.4 7 66.13 2.1 51.62 177.33 3.46 "B"
32.02 1.1 4 30.61 2.2 1431.09 1826.34 2.46 "C"
7.68 6.2 7 66.1 4.2 423.55 720.48 0.12 "D"
17.83 1 8 4 9.5 571.2 1095.35 1.56 "A"
57.53 0.4 5 34.72 4.6 970.97 1663.56 3.89 "C"
2.37 10.9 4 54.6 12 328.54 582.93 1.01 "D"
26.24 0.5 4 45.38 0.5 497.28 1113.08 0.51 "B"
25.88 4.1 8 59.97 8.9 872.33 1021.22 0.68 "A"
3.24 3.4 8 60.45 11.4 621.73 477.57 1.71 "B"
42 11.3 9 53.87 5.4 1296.86 1689.06 0.84 "C"
2.48 7.4 7 65.49 7.1 126.63 429.56 1.4 "D"
40.01 3.7 8 58.54 3.9 616.97 1145.14 0.84 "C"
30.71 6.9 5 53.98 2.3 11.4 251.93 4.44 "D"
6.87 9.8 7 51.59 5 843.13 659.87 0.31 "A"
45.43 3.4 8 44.71 6.4 879.87 1950.99 2.75 "A"
8.39 5.2 8 66.39 5.8 210.97 179.3 4.04 "D"
16.53 12 4 46.12 12 150.47 619.51 0.6 "C"
11.17 8.4 8 54.29 0.1 272.66 742.87 1.14 "C"
54.01 1.6 9 60.97 4.6 659.22 1156.29 3.66 "D"
50.77 12 12 63.47 3.1 1166.33 2104.48 5.39 "D"
12.31 6.2 5 59.97 7.6 169.18 298.98 2.28 "D"
26.96 3.9 10 58.81 0.6 1068.63 748.48 3.45 "A"
19.94 11.2 5 45.14 7 843.12 984.22 0.82 "B"
15.24 3 5 56.05 3.5 67.91 315.41 2.78 "C"
13.31 4.9 4 60.08 9.8 319.52 717.6 2.2 "B"
33.77 2.1 4 47.52 10.8 853.47 938.99 0.59 "A"
27.65 9.6 10 80.73 5.5 833.83 688.58 2.07 "A"
34.54 9.6 8 49.97 2.7 1410.75 2188.18 0.05 "B"
29.48 11.7 6 48.96 4.5 1150.54 1253.02 3.66 "D"
51.13 2.4 11 60.81 0.1 996.54 1667.65 2.23 "A"
40.1 7.9 6 41.64 7.7 986.77 2127.55 1.5 "A"
61.46 10.6 11 65.73 1.1 831.32 1544.82 4.06 "A"
48.7 5 11 61.53 1.7 699.24 1404.26 3.01 "D"
1.84 8.4 10 88.92 3.8 66.91 122.16 1.52 "C"
3.28 9.9 8 68.13 2.4 32.83 178.94 3.26 "A"
27.83 7.3 13 66.43 5.1 840.78 1421.47 3.79 "D"
53.05 0.9 13 67.42 1 741.88 1624.99 5.23 "D"
19.65 1.4 4 49.37 7.2 236.26 980.47 1.76 "C"
38.45 0.6 8 48.27 11.5 907.58 1455.09 2.77 "D"
29.07 0.8 6 52.41 0.6 766.07 1002.95 3.65 "A"
11.33 2.1 4 31.96 8.4 547.82 841.43 0.73 "A"
39.72 9.3 7 43.41 9.2 1138.91 1630.71 3.61 "B"
12.32 7.5 4 52.78 0.5 681.89 1042.38 1.51 "A"
12.6 0.8 5 74.73 3.3 263.79 717.78 0.76 "D"
23.85 5 8 60.21 4.1 769.46 1061.9 2.8 "B"
25.59 12 4 50.63 6.7 385.33 470.93 1.3 "C"
1.29 4.5 7 55.76 9.1 724.47 681.98 0.49 "A"
25.13 0.2 8 68.32 8.1 495.66 376.07 1.11 "C"
14.23 9 6 63.91 3.8 575.2 1172.38 0.11 "C"
41.11 6.6 5 43.9 1 1130.05 2128.84 0.16 "D"
2.74 3.7 10 72.2 2.6 36.44 145.35 0.48 "C"
11.28 1.2 7 63.57 12.3 567.72 187.2 0.59 "B"
29.33 2.8 8 52.52 1.5 304.67 1108.86 0.83 "C"
17.46 0.8 11 69.15 3.1 716.81 1498.98 1.83 "B"
43.07 9.6 10 67.61 6.2 1280.4 1470.13 2.93 "A"
49.38 1.5 5 43.83 0.3 913.21 1733.56 3.22 "A"
11.82 4.2 8 63.58 3.6 169.2 392.03 2.51 "D"
22.9 5.2 6 45.95 6.1 193.76 1543.65 1.91 "D"
27 7.6 9 63.01 3.8 294.33 881.26 1.39 "B"
51.43 4.5 11 55.25 5.5 775.49 1533.35 2.34 "C"
5.05 12 10 69.89 8.3 367.55 162.02 3.29 "A"
44.63 8.1 12 66.68 2.4 852.05 1579.18 4.87 "B"
20.54 1.3 9 60.56 5.9 548 607.39 2.15 "C"
36.99 1.1 8 55.1 9.7 836.28 1310.55 1.94 "D"
26.29 5.4 6 42.04 6.2 1179.57 1939.48 1.44 "B"
48.92 9 6 44.53 9.6 164.68 1039.53 2.49 "B"
62.67 6.3 10 42.63 3.5 1398.34 1931.23 4.81 "A"
11.39 6 8 69.52 2.8 716.84 441.2 0.04 "A"
18.99 6.7 9 66.43 8.1 463.87 498.31 5.3 "D"
36.42 5.6 8 52.99 5.9 422.2 937.91 4.13 "D"
14.93 2.4 7 61.09 3.3 980.06 666.86 1.57 "A"
36.31 5.8 9 60.6 6.7 822.9 1076.36 0.32 "D"
12.71 1.8 8 68.42 3.1 327.04 469.49 1.5 "A"
23.34 3.4 8 49.23 7.8 1388.07 1822.16 4.08 "A"
32.87 3.3 9 65.31 2.3 251.94 968.44 1.81 "D"
27.59 1.7 10 61.51 1.1 785.83 610.13 1.66 "A"
9.32 9.2 8 76.75 9.9 241.67 140.79 2.52 "D"
2.47 3.6 9 81.56 7.8 27.23 371.81 2.36 "B"
7.38 10.9 6 63.12 9.5 750.47 484.01 1.67 "D"
7.55 4.3 4 44.28 7.9 496.47 885.62 0.27 "B"
20.67 5.3 10 75.53 1.7 394.03 227.74 1.37 "A"
30.7 5 8 55.8 2.1 604.87 1373.39 0.53 "D"
3.41 2.5 9 63.94 7 31.72 167.96 3.08 "A"
41.6 4.3 8 59.32 12.2 1052.37 1775.56 3.77 "C"
26.3 6 4 34.08 4.6 852.18 1117.04 1.55 "B"
48.23 3.3 10 61.42 9.7 891.95 1595 2.06 "C"
37.72 7.9 8 43.29 9.8 914.07 1818.65 2.94 "D"
10.75 1.8 9 56.85 10.6 478.82 754.37 1.62 "C"
35 6.7 10 56.83 4 433.19 779.37 5.64 "D"
25.27 1.5 8 47.63 0.4 762.94 1880.33 3.57 "C"
15.85 1.3 5 58.15 9.7 39.81 191.68 0.17 "B"
