"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "Cent"
22.66 6.5 10 60.74 1.1 564.61 1171.91 3.34 "A"
21.62 2.1 7 52.42 1.3 818.09 1271.73 1.37 "A"
26.85 2.3 5 45.77 10.6 589.32 1496.96 1.78 "B"
42.66 11.2 4 42.82 5.4 507.58 1538.21 2 "D"
10.42 4.1 9 67.84 10.7 684.64 915.28 0.1 "A"
23.11 11.2 8 73.2 11.7 861.52 750.54 5.25 "A"
15.64 5.3 8 63.82 12.6 344.88 972.65 1.23 "C"
5.69 1.1 5 51.26 5.5 226.77 266.69 0.89 "A"
28.2 0.1 6 47.03 6.6 706.5 1072.89 1.41 "B"
19.88 11.8 10 59.3 4.9 235.32 607.25 2.82 "B"
49.05 7.7 6 53.63 3.3 889.66 1297.52 3.72 "D"
36.52 2 11 75.46 9.3 552.68 835.14 3.64 "A"
50.73 0.8 4 28.7 10.2 1043 1596.15 5.76 "B"
11.35 7.9 6 58.51 5.8 199.54 178.87 2.14 "C"
26.98 10.6 11 56.65 5.2 1228.29 1387.39 4.3 "D"
49.39 4.7 6 40.77 7.4 1077.31 1867.64 1.06 "D"
1.91 9.8 10 85.94 12.5 687.81 789.19 5.54 "D"
18.01 3.5 6 63.69 12.1 46.42 111.7 3.45 "A"
6.02 2.4 4 53.7 11.9 24.43 117.75 1.18 "D"
36.82 4.7 6 63.72 10.7 728.54 785.65 3.09 "D"
16.32 3 4 63.35 5.6 130.14 499.62 3.86 "D"
38.84 6.6 9 45.41 6.6 1476.09 2300.68 1.33 "D"
6.73 5.3 5 46.29 8.4 408.17 1059.14 0.92 "A"
57.38 5.4 8 50.14 11.9 1270.47 1911.86 4.99 "C"
33.94 9.8 7 50.94 0.1 427.61 1197.84 1.71 "C"
20.22 9.1 7 47.7 1.8 270.98 853.16 0.47 "A"
13.85 7.8 10 71.51 3.1 423.54 600.09 2.79 "C"
21.13 2.6 5 61.09 10.4 80.43 348.62 3.37 "D"
11 4.7 7 63.78 11.4 161.4 336.62 3.88 "B"
37.96 7.9 6 38.58 4.1 1521.77 2196.87 2.6 "C"
11.76 4 6 57.38 12.8 863.24 958.85 1.14 "C"
26.91 3.3 6 47.17 10.4 587.26 932.26 2.11 "D"
33.02 10 4 38.92 6.4 817.44 1435.55 4.68 "D"
29.07 5.8 8 52.43 0.1 1048.92 1393.19 1.34 "D"
27.03 8.9 4 45.91 4.5 642.03 1097.06 0.54 "B"
26.68 3.3 4 45.76 6.4 344.78 957.04 2.11 "B"
29.93 5.6 9 61.81 11.8 823.38 1175.31 3.61 "A"
8.63 1.9 11 88.39 12.4 343.73 652.75 0.33 "D"
4.65 6.8 4 51.59 12.4 231.32 95.13 0.83 "C"
20.52 10 11 73.75 12.6 658.42 1199.9 2.01 "B"
12.05 4.9 4 53.17 10.7 60.7 131.79 0.33 "C"
24.39 11.4 10 52.23 8.5 826.41 1105.57 2.83 "A"
15.21 2.2 7 58.86 3.6 138.52 176.9 5.04 "C"
20.36 1.4 4 56.82 11.3 136.76 137.09 2.33 "A"
6.58 12 8 64.93 10 61.26 138.96 0.83 "B"
47.07 6.8 8 43.19 8.7 1683.95 2034.38 4.7 "C"
11.38 4.8 7 58.15 3 565.91 731.99 0.63 "B"
36.31 12 11 59.83 4.4 1212.96 1671.27 3.99 "C"
37.14 8.2 6 50.52 5.2 606.8 1205.01 1.85 "C"
2.77 9 6 54.98 3.3 208.69 358.82 2.67 "B"
34.73 5.1 8 56.39 8.2 349.16 885.88 5.26 "A"
27.29 10.6 8 43.55 9.8 1036.84 1464.64 2.35 "D"
50.28 2.9 4 38.89 10.4 774.49 1560.71 1.13 "A"
2.67 2.3 6 67.92 3.9 282.77 723.34 2.26 "B"
46.1 11 10 61.29 1.1 842.94 955.7 5.52 "A"
33.17 1.7 8 78.79 6.9 582.8 121.95 2.01 "A"
23.37 6.9 5 60.05 10.1 11.19 313.1 3.48 "C"
32.88 10.1 5 52.79 10.1 907.4 1226.6 3.23 "A"
66.5 10.1 10 55.15 11.1 1018.72 2128.88 5.2 "C"
49.26 8.6 13 69.33 10.2 1656.33 2172.64 3.36 "B"
9.34 5.6 4 37.92 0.5 318.82 134.16 3.16 "B"
59.13 9.2 10 38.71 11.1 1688.66 2893.04 5.08 "D"
0.54 12 9 65.29 8.6 620.13 480.08 1.82 "A"
11.91 2.4 8 67.36 7.8 198.13 383.75 0.52 "D"
24.45 12 5 38.3 8.9 261.77 1271.37 5.17 "A"
12.15 10 4 48.51 11.3 156.04 286.56 0.92 "B"
22.74 1.5 10 62.23 5.2 863.45 891.68 5.11 "B"
19.08 0.1 7 62.74 3.9 545.24 670.82 2.89 "D"
36.37 8.5 5 48.25 4.7 803.12 1301.79 1.97 "A"
15.19 4.3 7 57.83 2.7 15.56 197.06 5.1 "A"
25.85 2.8 4 46.92 5.1 562.91 279.23 2.79 "A"
8.03 2.6 9 89.62 12 174.98 477.17 1.1 "A"
18.38 1 5 47.62 3 525.36 589.53 2.03 "D"
18.44 11.2 7 49.48 2.3 475.36 1129.74 0.05 "D"
19.07 9.4 6 38.96 10.7 844.43 1380.86 3.12 "D"
35.2 6.9 8 52.52 7.5 966.07 1507.97 1.12 "C"
24.01 3.3 4 44.03 2.7 819.9 1059.19 0.24 "D"
14.75 5.2 6 67.28 12.6 17.34 122.31 2.98 "C"
46.49 6.4 7 46.27 9.5 595.45 1435.77 1.59 "C"
37.93 1.3 6 53.49 10.3 917.15 1241.18 2.98 "B"
